            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459570.500000000, A.D. 2021-Dec-22 00:00:00.0000,  4.432455480733261E+09, -5.301728733828740E+08, -3.273625659610789E+08,  7.193297477643129E-01,  5.033639871541657E+00,  2.042237905763264E+00,  1.493045376871088E+04,  4.476037434377197E+09, -3.325585959756211E-02,
2459571.500000000, A.D. 2021-Dec-23 00:00:00.0000,  4.432517593394459E+09, -5.297379862604926E+08, -3.271861469804301E+08,  7.183341887658669E-01,  5.033160993190071E+00,  2.041649009204585E+00,  1.493044415932101E+04,  4.476034553554588E+09, -3.356250056306834E-02,
2459572.500000000, A.D. 2021-Dec-24 00:00:00.0000,  4.432579597330378E+09, -5.293031396923767E+08, -3.270097437120937E+08,  7.169467976652785E-01,  5.032808086675628E+00,  2.041917890160856E+00,  1.493043437761347E+04,  4.476031621072441E+09, -3.433497191200524E-02,
2459573.500000000, A.D. 2021-Dec-25 00:00:00.0000,  4.432641494841694E+09, -5.288683004191951E+08, -3.268332851815469E+08,  7.159990391337017E-01,  5.033022432028844E+00,  2.042810724046829E+00,  1.493042440073190E+04,  4.476028630078594E+09, -3.478474363769560E-02,
2459574.500000000, A.D. 2021-Dec-26 00:00:00.0000,  4.432703345981013E+09, -5.284334211523306E+08, -3.266567538128265E+08,  7.158655155042561E-01,  5.033655962797303E+00,  2.043445828658141E+00,  1.493041440415018E+04,  4.476025633178787E+09, -3.445868480180288E-02,
2459575.500000000, A.D. 2021-Dec-27 00:00:00.0000,  4.432765206221580E+09, -5.279984896975068E+08, -3.264802037040370E+08,  7.160747579123189E-01,  5.034124385369505E+00,  2.043208564984560E+00,  1.493040457954398E+04,  4.476022687835946E+09, -3.370982667564679E-02,
2459576.500000000, A.D. 2021-Dec-28 00:00:00.0000,  4.432827068874409E+09, -5.275635415945813E+08, -3.263037044416620E+08,  7.157991430887419E-01,  5.034014811172498E+00,  2.042390277047451E+00,  1.493039493577023E+04,  4.476019796705311E+09, -3.333058944173772E-02,
2459577.500000000, A.D. 2021-Dec-29 00:00:00.0000,  4.432888872031357E+09, -5.271286232593606E+08, -3.261272688792874E+08,  7.147135124720237E-01,  5.033514845861245E+00,  2.041886549513342E+00,  1.493038528966957E+04,  4.476016904877081E+09, -3.373067208846857E-02,
2459578.500000000, A.D. 2021-Dec-30 00:00:00.0000,  4.432950562865076E+09, -5.266937437785087E+08, -3.259508397852651E+08,  7.133337989261781E-01,  5.033217312758293E+00,  2.042266260432837E+00,  1.493037545632655E+04,  4.476013956915007E+09, -3.451039437925411E-02,
2459579.500000000, A.D. 2021-Dec-31 00:00:00.0000,  4.433012152466301E+09, -5.262588655179941E+08, -3.257743492952645E+08,  7.124825059649141E-01,  5.033505859956571E+00,  2.043181406491096E+00,  1.493036544108911E+04,  4.476010954422358E+09, -3.487470671053729E-02,
